epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.0126,1.4858,0.18182,1,2.06511,0.00017136,0.00017136,0.00017136
2,30.1904,1.09771,0.14545,1,3.35525,0.000344912,0.000344912,0.000344912
3,40.2349,0.83492,0.27273,1,4.43668,0.000513415,0.000513415,0.000513415
4,50.0408,0.68741,0.21818,1,5.36629,0.000676869,0.000676869,0.000676869
5,59.8963,0.57181,0.25455,1,5.89804,0.000673608,0.000673608,0.000673608
6,69.6384,0.53277,0.30909,1,6.1354,0.00066351,0.00066351,0.00066351
7,79.3512,0.45022,0.25455,1,6.07337,0.000653412,0.000653412,0.000653412
8,89.2284,0.39593,0.30909,1,6.38652,0.000643314,0.000643314,0.000643314
9,98.9519,0.34801,0.29091,1,6.52524,0.000633216,0.000633216,0.000633216
10,108.685,0.35274,0.32727,1,6.46602,0.000623118,0.000623118,0.000623118
11,118.404,0.31904,0.32727,1,6.24625,0.00061302,0.00061302,0.00061302
12,128.142,0.35019,0.32727,1,6.35116,0.000602922,0.000602922,0.000602922
13,137.89,0.28058,0.30909,1,5.99452,0.000592824,0.000592824,0.000592824
14,147.682,0.37541,0.27273,1,6.20286,0.000582726,0.000582726,0.000582726
15,157.407,0.23312,0.30909,1,5.71007,0.000572628,0.000572628,0.000572628
16,167.061,0.30403,0.32727,1,6.08168,0.00056253,0.00056253,0.00056253
17,176.844,0.23592,0.30909,1,6.19275,0.000552432,0.000552432,0.000552432
18,186.522,0.25234,0.25455,1,6.55926,0.000542334,0.000542334,0.000542334
19,196.175,0.21976,0.29091,1,6.22061,0.000532236,0.000532236,0.000532236
20,205.933,0.24037,0.32727,1,6.53573,0.000522138,0.000522138,0.000522138
21,215.747,0.21072,0.32727,1,6.64649,0.00051204,0.00051204,0.00051204
22,225.536,0.15982,0.32727,1,6.55367,0.000501942,0.000501942,0.000501942
23,235.35,0.20155,0.32727,1,7.63996,0.000491844,0.000491844,0.000491844
24,245.152,0.1298,0.30909,1,8.04924,0.000481746,0.000481746,0.000481746
